age,gender,city,employment,income_aed,wellness_goal,nutri_knowledge,activity_level,lunch_source,online_orders_per_week,pain_points,frustration_level,order_channel,delivery_reliability_importance,transparency_need,flexibility_need,edu_content_need,past_subscription,trial_intent,max_daily_budget_aed,pricing_pref,convince_factors,open_comment
35,Female,Dubai,Unemployed,31095,General health,3,Low,Skip,0,"Lack of time, Confusing nutrition info, Taste",3,Mobile app,4,3,4,3,No,2,39,Weekly plan,"Taste variety, Sustainability creds, Chef reputation",
30,Female,Dubai,Unemployed,7098,Weight loss,3,High,Cook at home,5,Cost,1,Mobile app,3,5,4,2,No,2,247,Monthly plan with discount,"App experience, Taste variety, Sustainability creds",
37,Female,Other,Self-employed,15588,General health,2,High,Cook at home,4,Confusing nutrition info,1,Mobile app,4,3,4,1,Yes,2,26,Weekly plan,"App experience, Taste variety, Proven health results",
44,Female,Dubai,Part-time,15960,Muscle gain,3,Low,Office canteen,3,Confusing nutrition info,1,Mobile app,5,2,5,5,No,2,25,Pay-as-you-go,"Chef reputation, App experience, Proven health results",
30,Female,Dubai,Full-time,7931,Muscle gain,3,Moderate,Meal box/subscription,3,"Limited options nearby, Lack of time, Cooking skills",3,Mobile app,5,2,5,5,Yes,5,31,Weekly plan,"Sustainability creds, Chef reputation, Price",
30,Male,Dubai,Student,18134,General health,5,Low,Office canteen,3,Lack of time,2,In-person kiosk,3,5,5,4,Yes,5,43,Monthly plan with discount,"Proven health results, Taste variety, Chef reputation",
44,Male,Other,Full-time,26210,Muscle gain,1,Low,Restaurant/take-away,1,Cost,1,Mobile app,4,4,5,5,Yes,5,56,Pay-as-you-go,"Sustainability creds, App experience, Chef reputation",
38,Male,Dubai,Full-time,31883,Muscle gain,5,Low,Cook at home,1,Limited options nearby,1,Mobile app,4,5,4,4,No,5,57,Monthly plan with discount,"Taste variety, Sustainability creds, Price",
28,Female,Dubai,Part-time,13241,Muscle gain,4,Low,Cook at home,2,"Lack of time, Limited options nearby, Cost",4,Website,5,3,3,4,No,3,26,Monthly plan with discount,"Chef reputation, App experience, Proven health results",
36,Male,Abu Dhabi,Full-time,52398,Muscle gain,3,Moderate,Restaurant/take-away,3,"Confusing nutrition info, Limited options nearby, Cooking skills",3,Mobile app,5,3,4,5,Yes,2,52,Annual membership,"Taste variety, Proven health results, Sustainability creds",
